,feature,tfidf,ig_value
606,cari,0,0.010656481
607,carut,0,0.003179008
608,catat,0,0.018702178
609,catur,0,0.000797939
610,cawapres,0,0.000797939
611,cb,0,0.000966799
612,cc,0,0.004747079
613,ccg,0,0.000784176
614,ccvgnynt,0,0.000966799
615,cdsrifkph,0,0.000784176
616,ce,0,0.000966799
617,cebong,0,0.000797939
618,cejcld,0,0.000797939
619,cek,0,0.003320279
620,cela,0,0.000784176
621,celoteh,0,0.000784176
622,cemar,0,0.001581705
623,cemas,0,0.000966799
624,cemburu,0,0.000797939
625,cemen,0,0.000797939
626,cendananews,0,0.000784176
627,cenderung,0,0.000966799
628,center,0,0.002547684
629,cepat,0,0.007116201
630,cepet,0,0.000797939
631,cerdas,0,0.002366198
632,cerdik,0,0.000797939
633,cerita,0,0.004961939
634,cermat,0,0.001596627
635,cermin,0,0.000784176
636,cerna,0,0.000797939
637,cetak,0,0.000797939
638,cetus,0,0.004844348
639,cgt,0,0.000784176
640,chaniago,0,0.000797939
641,channel,0,0.003514694
642,chaosnya,0,0.000797939
643,china,0,0.020201489
644,chooses,0,0.000784176
645,ci,0,0.000966799
646,cikampek,0,0.000784176
647,cimahi,0,0.000797939
648,cina,0,0.009893454
649,ciparay,0,0.000966799
650,ciprat,0,0.000797939
651,cipta,0,0.004927426
652,cirebon,0,0.001934631
653,ciri,0,0.000797939
654,cita,0,0.001569079
655,citra,0,0.003179008
656,city,0,0.002366198
657,civa,0,0.000797939
658,ckf,0,0.000966799
659,ckh,0,0.000784176
660,ckilp,0,0.000966799
661,cm,0,0.004129221
662,cmd,0,0.000797939
663,cnbzd,0,0.000797939
664,cne,0,0.000966799
665,cnn,0,0.000797939
666,coba,0,0.008273796
667,cocok,0,0.002717986
668,code,0,0.000797939
669,colateral,0,0.002396064
670,colek,0,0.000966799
671,com,0,0.337018845
672,comics,0,0.000797939
673,commentnya,0,0.000784176
674,confirming,0,0.000784176
675,connect,0,0.003514694
676,cons,0,0.000797939
677,cont,0,0.000797939
678,contoh,0,0.006526088
679,copile,0,0.000797939
680,core,0,0.000784176
681,coret,0,0.000966799
682,cortrfg,0,0.000784176
683,cost,0,0.000797939
684,courtesy,0,0.000784176
685,cpjzh,0,0.000784176
686,cpns,0,0.000784176
687,cqaxmwx,0,0.000784176
688,credit,0,0.000797939
689,cs,0,0.000797939
690,ct,0,0.000784176
691,cuat,0,0.000784176
692,cucu,0,0.001581705
693,cucur,0,0.000797939
694,cuek,0,0.000797939
695,cuil,0,0.000784176
696,cuit,0,0.001750565
697,cuk,0,0.001581705
698,cukong,0,0.002396064
699,cukup,0,0.009727442
700,cuma,0,0.022268058
701,cuman,0,0.007509477
702,cuplik,0,0.001750565
703,curang,0,0.001596627
704,curhat,0,0.000966799
705,curi,0,0.001934631
706,curiga,0,0.001569079
707,cushman,0,0.000784176
708,cw,0,0.001750565
709,cwef,0,0.000966799
710,cxmpopwbjz,0,0.000966799
711,czojddnfef,0,0.000784176
712,czq,0,0.000966799
713,da,0,0.001596627
714,dadak,0,0.002396064
715,dadang,0,0.001934631
716,daerah,0,0.028308864
717,daftar,0,0.000784176
718,dagang,0,0.003164064
719,dah,0,0.005110355
720,dahlan,0,0.002396064
721,dahnil,0,0.003141073
722,dahuri,0,0.000784176
723,dai,0,0.000797939
724,dalam,0,0.006234672
725,dalih,0,0.000966799
726,dam,0,0.000797939
727,damai,0,0.000797939
728,dampak,0,0.035207688
729,dana,0,0.035605572
730,dandy,0,0.000966799
731,dangkal,0,0.003179008
732,daoxkrr,0,0.000784176
733,dapat,0,0.033956892
734,dapet,0,0.001764328
735,dar,0,0.002396064
